campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si periodo es menor a periodo informado, entonces campo 32 es igual a '9' o '6' o '7'\n6. Si el periodo es igual a periodo informado, campo 32 es igual a '0' o '1'"
2,Hasta 40,Si,Si,"1. Contribuyentes del Régimen General: Número correlativo del mes o Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable en el Libro Diario o del Libro Diario de Formato Simplificado en que se registró la operación.\n2. Contribuyentes del Régimen Especial de Renta - RER:  Número correlativo del mes. ",Texto,"1. Obligatorio\n2. Si el campo 32 es igual a '0'', 1' o '6' o '7', consignar el Código Único de la Operación (CUO) o número correlativo de la operación que se está informando\n3. Si el campo 32 es igual a '9', consignar el Código Único de la Operación (CUO) o número correlativo de la operación original que se modifica\n4. No acepta el caracter ""&""\n5. Si el CUO proviene de un asiento contable consolidado se debe adicionar un número secuencial separado de un guión ""-"". "
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2, cuando se utilice el Código Único de la Operación (CUO). El primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n3. En los casos de Contribuyentes del RER: Consignar M-RER\n4. No acepta el caracter ""&"""
4,10,Si,No,Fecha de emisión del comprobante de pago o documento,DD/MM/AAAA,"1. Obligatorio\n2. Menor o igual al periodo informado\n5. Si fecha de emisión está dentro de los doce meses anteriores al periodo señalado en el campo 1, entonces campo 32 = '6'\n6. Si fecha de emisión está fuera de los doce meses anteriores al periodo señalado en el campo 1, entonces campo 32 = '7'"
5,10,No,No,Fecha de Vencimiento o Fecha de Pago (1),DD/MM/AAAA,"1. Opcional, excepto cuando el campo 6 = '14' en cuyo caso es obligatorio\n2. Menor o igual al mes siguiente del periodo informado\n3. Menor o igual al mes siguiente del periodo señalado en el campo 1."
6,2,Si,No,Tipo de Comprobante de Pago o Documento,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 10\n3. Aplicar Regla General (tipo y nro. doc.)
7,Hasta 20,Si,No,Serie del comprobante de pago o documento. En los casos de la Declaración Única de Aduanas (DUA) o de la Declaración Simplificada de Importación (DSI) se consignará el código de la dependencia Aduanera.,Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (tipo y nro. doc.)
8,Hasta 20,Si,No,"Número del comprobante de pago o documento o número de orden del formulario físico o virtual donde conste el pago del impuesto, tratándose de liquidaciones de compra, utilización de servicios prestados por no domiciliados u otros, número de la DUA, de la DSI, de la Liquidación de cobranza u otros documentos emitidos por SUNAT que acrediten el crédito fiscal en la importación de bienes.\nEn caso de optar por anotar el importe total de las operaciones diarias que no otorguen derecho a crédito fiscal en forma consolidada, registrar el número inicial (2).",Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (por tipo de doc.)
9,Hasta 20,No,No,"En caso de optar por anotar el importe total de las operaciones diarias que no otorguen derecho a crédito fiscal en forma consolidada, registrar el número final (2). ",Numérico,"1. Si campo 6 = '00','03','05','06','11','12','13','14','15','16','18','19','23','26','28','30','36','37','55','56', campo 8 debe ser positivo o cero "
10,1,No,No,Tipo de Documento de Identidad del proveedor,Alfanumérico,"1. Obligatorio, excepto cuando campo 6 = '00','03','05','06','11','12','13','14','15','16','18','19','22','23','26','28','30','36','37','55','56','91', en cuyos casos será opcional\n2. Validar con parámetro tabla 2, no acepta el tipo de documento 0"
11,Hasta 15,No,No,"Número de RUC del proveedor o número de documento de Identidad, según corresponda.",Alfanumérico,"1. Obligatorio, excepto cuando campo 6 = '00','03','05','06','11','12','13','14','15','16','18','19','22','23','26','28','30','36','37','55','56','91', en cuyos casos será opcional\n2. Aplicar Regla General (por tipo de doc.)"
12,Hasta 100,No,No,"Apellidos y nombres, denominación o razón social  del proveedor. En caso de personas naturales se debe consignar los datos en el siguiente orden: apellido paterno, apellido materno y nombre completo.",Texto,"1. Obligatorio, excepto cuando campo 6 = '00','03','05','06','11','12','13','14','15','16','18','19','22','23','26','28','30','36','37','55','56','91'. "
13,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Base imponible de las adquisiciones gravadas que dan derecho a crédito fiscal y/o saldo a favor por exportación, destinadas exclusivamente a operaciones gravadas y/o de exportación",Numérico,1. Acepta negativos
14,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Monto del Impuesto General a las Ventas y/o Impuesto de Promoción Municipal,Numérico,1. Negativo si campo 13 es negtivo\n2. Positivo si campo 13 es positivo\n3. Impuesto que corresponde a la adquisición registrada conforme lo dispuesto en el campo 13.
15,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Impuesto al Consumo de las Bolsas de Plástico.,Numérico,"1. Acepta negativos.\n2. Opcional, excepto cuando el campo 6 = '01', '03', '07', '08', ""12"",  '87'  o  '88'  en  cuyo  caso  es  obligatorio,  y  el  valor  por defecto es 0.00."
16,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Otros conceptos, tributos y cargos que no formen parte de la base imponible.",Numérico,1. Acepta negativos\n
17,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Importe total de las adquisiciones registradas según comprobante de pago.,Numérico,"1. Obligatorio\n2. Acepta negativos\n3. Suma de los campos 13, 14, 15 y 16.\n"
18,3,No,No,Código  de la Moneda (Tabla 4),Alfanumérico,1. Validar con parámetro tabla 4
19,1 entero y 3 decimales,No,No,Tipo de cambio (3).,Numérico,1.  #.###\n2. Positivo
20,10,No,No,Fecha de emisión del comprobante de pago que se modifica (4).,DD/MM/AAAA,"1. Obligatorio, si campo 6 = '07' o '08' o '87' o '88'\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1."
21,2,No,No,Tipo de comprobante de pago que se modifica (4).,Numérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88' \n2. Validar con parámetro tabla 10
22,Hasta 20,No,No,Número de serie del comprobante de pago que se modifica (4).,Alfanumérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88'\n2. Aplicar Regla General (por tipo de doc.)
23,Hasta 20,No,No,Número del comprobante de pago que se modifica (4).,Alfanumérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88'
24,10,No,No,Fecha de emisión de la Constancia de Depósito de Detracción (6),DD/MM/AAAA,1. Menor o igual al mes siguiente del periodo informado\n2. Menor o igual al mes siguiente del periodo señalado en el campo 1.
25,Hasta 24,No,No,Número de la Constancia de Depósito de Detracción (6),Alfanumérico,"1. Positivo, de ser numérico"
26,1,No,No,Marca del comprobante de pago sujeto a retención,Numérico,1. Si identifica el comprobante sujeto a retención consignar '1' caso contrario no consignar nada
27,1,No,No,"Clasificación de los bienes y servicios adquiridos (Tabla 30) \nAplicable solo a los contribuyentes que hayan obtenido ingresos mayores a 1,500 UIT en el ejercicio anterior",Numérico,1. Validar con parámetro tabla 30
28,1,No,No,Error tipo 1: inconsistencia en el tipo de cambio,Numérico,"1. El tipo de cambio (campo 19) correspondiente a la fecha de emisión (campo 4) debe ser igual al tipo de cambio (campo 3) correspondiente a la fecha (campo 1) de la Estructura 1 Tipo de Cambio, del mismo periodo, caso contrario se debe consignar ""1"". Esto se aplica a todos los tipos de comprobantes de pago, excepto el tipo 14 (tabla 10).\n2. El tipo de cambio (campo 19) correspondiente a la fecha de vencimiento (campo 5) debe ser igual al tipo de cambio (campo 3) correspondiente a la fecha (campo 1) de la Estructura 1 Tipo de Cambio, del mismo periodo, caso contrario se debe consignar ""1"". Esto se aplica sólo al tipo de comprobantes de pago 14 (tabla 10)."
29,1,No,No,Error tipo 2: inconsistencia por proveedores no habidos,Numérico,"1. El número de RUC (campo 11) no debe ser igual al número de RUC (campo 1) de la Estructura 2 Padrón de RUCs no Habidos, siempre que la fecha (campo 4) se encuentre comprendida entre la fecha de inicio en que adquirió la condición de no habido (campo 2) y la la fecha de fin de la condición de no habido (campo3) de la  Estructura 2 Padrón de RUCs no Habidos, caso contrario se debe consignar ""1"". Esto se aplica a todos los tipos de comprobantes de pago (tabla 10)."
30,1,No,No,Error tipo 3: inconsistencia por proveedores que renunciaron a la exoneración del Apéndice I del IGV,Numérico,"1. El número de RUC (campo 11) no debe ser igual al número de RUC (campo 1) de la Estructura 3 Padrón de RUCs que renunciaron a la exoneración del IGV, siempre que la fecha (campo 4) sea menor a la fecha que renunció a la exoneración del IGV (campo 2) de la  Estructura 3 Padrón de RUCs que renunciaron a la exoneración del IGV, caso contrario se debe consignar ""1"". Esto se aplica a todos los tipos de comprobantes de pago (tabla 10)."
31,1,No,No,Indicador de Comprobantes de pago cancelados con medios de pago,Numérico,"1. Consignar ""1"" si el comprobante de pago fue cancelado con algún medio de pago establecido en la tabla 1, caso contrario no consignar nada"
32,1,Si,No,Estado que identifica la oportunidad de la anotación o indicación si ésta corresponde a un ajuste.,Numérico,"1. Obligatorio\n2. Registrar '0' cuando el Comprobante de Pago o documento no da derecho al crédito fiscal.\n3. Registrar '1' cuando se anota el Comprobante de Pago o documento en el periodo que se emitió o que se pagó el impuesto, según corresponda, y da derecho al crédito fiscal.\n4. Registrar '6' cuando la fecha de emisión del Comprobante de Pago o de pago del impuesto, por operaciones que dan derecho a crédito fiscal, es anterior al periodo de anotación y esta se produce dentro de los doce meses siguientes a la emisión o pago del impuesto, según corresponda.\n5. Registrar '7' cuando la fecha de emisión del Comprobante de Pago o pago del impuesto, por operaciones que no dan derecho a crédito fiscal, es anterior al periodo de anotación y esta se produce luego de los doce meses siguientes a la emisión o pago del impuesto, según corresponda.\n6. Registrar '9' cuando se realice un ajuste o rectificación en la anotación de la información de una operación registrada en un periodo anterior."
33 al 64,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
