campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00 \n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 27 es igual a '1'\n6. Si periodo es menor a periodo informado, entonces campo 27 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable en el Libro Diario en que se registró la operación.\nCuando el CUO proviene de un asiento contable consolidado, se debe mantener la información detallada que permita efectuar la verificación individual de cada documento. Los contribuyentes que llevan el Registro de Inventario Permanente Valorizado solo podrán consolidar las operaciones relacionadas con los inventarios hasta el 31/12/2016.\nDicha información detallada deberá ser llevada mediante un sistema de control computarizado y contener como mínimo la misma estructura del presente registro y ser proporcionada mediante medios magnéticos cuando sea requerida por la SUNAT.",Texto,"1. Obligatorio\n2. Si el campo 27 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 27 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. Para modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO).\n4. Si el campo 27 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica\n5. Si el CUO proviene de un asiento contable consolidado se debe adicionar un número secuencial separado de un guión ""-"""
3,De 2 hasta\n10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2.\nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el\nasiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C"
4,Hasta 7,Si,Si,"Código de establecimiento anexo:\n1. Los cuatro primeros dígitos son obligatorios y corresponden al código de establecimiento anexo según el Registro Único de Contribuyentes\n2. En caso el almacén se encuentre ubicado en el establecimiento de un tercero o no sea posible incluirlo como un establecimiento anexo, los cuatro primeros números serán: ""9999""\n3. De la posición 5 a la 7 registrar un correlativo, de ser necesario",Numérico,1. Obligatorio\n2. Como mínimo consignar ####\n3. Positivo
5,1,Si,Si,Código del catálogo utilizado.,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 13
6,2,Si,Si,Tipo de existencia,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 5
7,Hasta 24,Si,Si,Código propio de la existencia correspondiente al catálogo señalado en el campo 5.,Alfanumérico,1. Obligatorio\n2. Según catálogo utilizado (campo 5)
8,1,No,No,Código del catálogo utilizado.,Numérico,1. A partir del 1.1.2021 es obligatorio (solo tratándose de la entrada y salida de mercaderías y productos terminados) siempre que en el comprobante de pago electrónico se hubiere consignado el código internacional UNSPSC o GTIN.\n2. No acepta el valor 9\n3. Validar con parámetro tabla 13
9,Hasta 128,No,No,Código de la existencia correspondiente al catálogo señalado en el campo 8.,Numérico,"1.Campo opcional, en el que se podrá utilizar el código internacional UNSPSC al tercer nivel jerárquico o el código GTIN, salvo que alguno de estos códigos se hubiere consignado en el comprobante de pago electrónico, en cuyo caso, a partir del\n1.1.2021 será obligatorio tratándose de la entrada y salida de mercaderías y productos terminados."
10,10,Si,Si,"Fecha de emisión del documento de traslado, comprobante de pago, documento interno o similar",DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
11,2,Si,Si,"Tipo del documento de traslado, comprobante de pago, documento interno o similar",Numérico,"1. Obligatorio\n2. Validar con parámetro tabla 10\n3. Si campo 14 = '01', '02, '03, '04', '05' o '06', campo 11 <> '00'\n4. En caso contrario campo 11 puede tomar cualquier valor de la tabla 10, incluyendo '00'"
12,Hasta 20,Si,Si,"Número de serie del documento de traslado, comprobante de pago, documento interno o\nsimilar",Alfanumérico,"1. Obligatorio, si campo 14 = '01', '02, '03, '04', '05' o '06'\n2. Si no existe registrar '0'\n3. Positivo, de ser numérico"
13,Hasta 20,Si,Si,"Número del documento de traslado,\ncomprobante de pago, documento interno o similar",Alfanumérico,"1. Obligatorio, si campo 14 = '01', '02, '03, '04', '05' o '06'\n2. Si no existe registrar '0'\n3. Positivo, de ser numérico"
14,2,Si,Si,Tipo de operación efectuada,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 12
15,Hasta 80,Si,No,Descripción de la existencia,Texto,1. Obligatorio
16,Hasta 3,Si,No,Código de la unidad de medida,Alfanumérico,1. Obligatorio\n2. Validar con parámetro tabla 6
17,1,Si,No,Código del Método de valuación de existencias aplicado,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 14
18,"Hasta 12 enteros y hasta 8 decimales,\nsin comas de miles",Si,No,Cantidad de unidades físicas del bien ingresado (la primera tupla corresponde al saldo inicial),Numérico,1. Obligatorio\n2. Excepcionalmente puede ser negativo
19,"Hasta 12 enteros y hasta 8 decimales, sin comas de\nmiles",Si,No,Costo unitario del bien ingresado,Numérico,1. Obligatorio si campo 18 <> '0.00'\n2. Positivo o '0.00'
20,"Hasta 20 enteros y hasta 2 decimales, sin comas de\nmiles",Si,No,Costo total del bien ingresado,Numérico,1. Obligatorio\n2. Producto del campo 18 y del campo 19\n3. Excepcionalmente puede ser negativo
21,"Hasta 12 enteros y hasta 8 decimales,\nsin comas de miles",Si,No,Cantidad de unidades físicas del bien retirado,Numérico,1. Obligatorio\n2. Negativo o '0.00'\n3. Excepcionalmente puede ser positivo
22,"Hasta 12 enteros y hasta 8 decimales, sin comas de\nmiles",Si,No,Costo unitario del bien retirado,Numérico,1. Obligatorio si campo 21 <> '0.00'\n2. Positivo o '0.00'
23,"Hasta 20 enteros y hasta 2 decimales, sin comas de\nmiles",Si,No,Costo total del bien retirado,Numérico,1. Obligatorio\n2. Producto del campo 21 y del campo 22\n3. Excepcionalmente puede ser positivo
24,"Hasta 12 enteros y hasta 8 decimales,\nsin comas de miles",Si,No,Cantidad de unidades físicas del saldo final,Numérico,1. Obligatorio\n2. Excepcionalmente puede ser negativo
25,"Hasta 12 enteros y hasta 8 decimales, sin comas de\nmiles",Si,No,Costo unitario del saldo final,Numérico,1. Obligatorio si campo 24 <> '0.00'\n2. Positivo o '0.00'
