campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMMDD\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 12 es igual a '1'. \n6. Si periodo es menor a periodo informado, entonces campo 12 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable. Debe ser el mismo consignado en el Libro Diario.",Texto,"1. Obligatorio\n2. Si el campo 10 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 10 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. \nPara modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO)\n4. Si el campo 10 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2. \nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n"
4,2,No,No,"Tipo de Comprobante de Pago relacionado, en caso sea aplicable",Numérico,1. Validar con parámetro tabla 10
5,Hasta 20,No,No,"Número serie del comprobante de pago o documento o número de serie de la maquina registradora relacionada, en caso sea aplicable",Alfanumérico,1. Aplicar Regla General (tipo y nro. doc.)
6,Hasta 20,No,No,"Número de Comprobante de Pago relacionado, en caso sea aplicable",Alfanumérico,1. Aplicar Regla General (por tipo de doc.)
7,Hasta 24,Si,No,"Código de la cuenta contable asociada a la obligación y desagregado en subcuentas al nivel máximo de dígitos utilizado, según su Plan de Cuentas (estructura 5.3)",Numérico,1. Obligatorio
8,Hasta 40,Si,No,Concepto o descripción de la operación,Texto,1. Obligatorio
9,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Saldo Final,Numérico,1. Obligatorio\n2. Positivo o '0.00'
10,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Adiciones,Numérico,1. Positivo o '0.00'
11,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Deducciones,Numérico,1. Positivo o '0.00'
12,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
13al 24,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
