campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 35 es igual a '1'  o '2' o '0'\n6. Si periodo es menor a periodo informado, entonces campo 35 es diferente a a '1'\n"
2,Hasta 40,Si,Si,"1. Contribuyentes del Régimen General: Número correlativo del mes o Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable en el Libro Diario o del Libro Diario de Formato Simplificado en que se registró la operación.\n2. Contribuyentes del Régimen Especial de Renta - RER:  Número correlativo del mes",Texto,"1. Obligatorio\n2. Si el campo 35 es igual a '0', '1' o '2', consignar el Código Único de la Operación (CUO) o número correlativo de la operación que se está informando\n3. Si el campo 35 es igual a '8', consignar el Código Único de la Operación (CUO) o número correlativo que corresponda al periodo en que se omitió la anotación. \nPara modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO) o número correlativo\n4. Si el campo 35 es igual a '9', consignar el Código Único de la Operación (CUO) o número correlativo de la operación original que se modifica\n5. No acepta el caracter ""&""\n6. Si el CUO proviene de un asiento contable consolidado se debe adicionar un número secuencial separado de un guión ""-"". "
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2, cuando se utilice el Código Único de la Operación (CUO). El primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n3. En los casos de Contribuyentes del RER: Consignar M-RER\n4. No acepta el caracter ""&"""
4,10,No,No,Fecha de emisión del Comprobante de Pago,DD/MM/AAAA,"1. Obligatorio, excepto cuando el campo 35 = '2'\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1."
5,10,No,No,Fecha de Vencimiento o Fecha de Pago (1),DD/MM/AAAA,1. Solo es obligatorio cuando el campo 6 = '14' y campo 35 <> '2'\n2. Menor o igual al mes siguiente del periodo informado\n3. Menor o igual al mes siguiente del periodo señalado en el campo 1.
6,2,Si,No,Tipo de Comprobante de Pago o Documento,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 10
7,Hasta 20,Si,No,Número serie del comprobante de pago o documento o número de serie de la maquina registradora,Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (por tipo de doc.)
8,Hasta 20,Si,No,"Número del comprobante de pago o documento.\nPara efectos del registro de tickets o cintas emitidos por máquinas registradoras que no otorguen derecho a crédito fiscal de acuerdo a las normas de Comprobantes de Pago y opten por anotar el importe total de las operaciones realizadas por día y por máquina registradora, registrar el número inicial (2)\nTratándose del IVAP, el usuario del servicio de pilado anotará la constancia de depósito por los retiros de bienes que hubiere efectuado",Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (por tipo de doc.)
9,Hasta 20,No,No,"1. Para efectos del registro de tickets o cintas emitidos por máquinas registradoras que no otorguen derecho a crédito fiscal de acuerdo a las normas de Comprobantes de Pago y opten por anotar el importe total de las operaciones realizadas por día y por máquina registradora, registrar el número final (2). \n2. Se permite la consolidación diaria de las Boletas de Venta emitidas de manera electrónica ",Numérico,"1. Solo se permite cuando el tipo de documento = '00', '03','12', ""13"" y ""87"".\n2. No se registra nada en este campo cuando el tipo de documento es <> '00', '03','12', ""13"" y ""87"".\n3. A partir del 1 de julio de 2016, para tipo documento = '03' se deberá registrar de manera detallada cuando el monto total sea igual o mayor a S/ 700.00."
10,1,No,No,Tipo de Documento de Identidad del cliente,Alfanumérico,"1. Obligatorio, excepto cuando \n    a. campo 6 = '00','05','06','07','08','11','12','13','14','15','16','18','19','23','26','28','30','34','35','36','37','55','56','87' y '88' o \n    b. campo 35 = '2' o\n    c. campo 6 = '07', '08', '87', '88' y campo 29 = '03', '12', '13', '14' y '36'\n    d. campo 13 > 0.00\n    e. campo 25 < 700.00 y campo  6 = '03' y'12'\n    f. campo 9 <> vacio.\nen cuyos casos será opcional y no  se aceptara el valor 0\n2. Validar con parámetro tabla 2."
11,Hasta 15,No,No,Número de Documento de Identidad del cliente,Alfanumérico,"1. Obligatorio excepto cuando\n    a. campo 6 = '00','05','06','07','08','11','12','13','14','15','16','18','19','23','26','28','30','34','35','36','37','55','56','87' y '88' o \n    b. campo 35 = '2' o\n    c. campo 6 = '07', '08', '87', '88'  y campo 29 = '03', '12', '13', '14' y '36'    \n    d. campo 13 > 0.00\n    e. campo 25 < 700.00 y campo  6 =  '03' y '12'\n    f. campo 9 <> vacio\nen cuyos casos será opcional \n2. Aplicar Regla General (tipo y nro. doc.)"
12,Hasta 100,No,No,"Apellidos y nombres, denominación o razón social  del cliente. En caso de personas naturales se debe consignar los datos en el siguiente orden: Apellido paterno, apellido materno y nombre completo.",Texto,"1. Obligatorio excepto cuando\n    a. campo 6 = '00','05','06','07','08','11','12','13','14','15','16','18','19','23','26','28','30','34','35','36','37','55','56','87' y '88' o \n    b. campo 35 = '2' o\n    c. campo 6 = '07', '08', '87', '88' y campo 29 = '03', '12', '13', '14' y '36'\n    d. campo 13 > 0.00\n    e. campo 25 < 700.00 y campo  6 =  '03' y '12'\n    f. campo 9 <> vacio"
13,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Valor facturado de la exportación,Numérico,
14,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Base imponible de la operación gravada (4),Numérico,
15,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Descuento de la Base Imponible,Numérico,1. Acepta negativos
16,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Impuesto General a las Ventas y/o Impuesto de Promoción Municipal,Numérico,1. Acepta negativos 
17,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Descuento del Impuesto General a las Ventas y/o Impuesto de Promoción Municipal,Numérico,1. Acepta negativos
18,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Importe total de la operación exonerada,Numérico,1. Acepta negativos
19,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Importe total de la operación inafecta ,Numérico,1. Acepta negativos 
20,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Impuesto Selectivo al Consumo, de ser el caso.",Numérico,1. Acepta negativos 
21,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Base imponible de la operación gravada con el Impuesto a las Ventas del Arroz Pilado,Numérico,1. Obligatorio si campo 6 = '49' y campo 35 <> '2'\n2. Acepta negativos 
22,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Impuesto a las Ventas del Arroz Pilado ,Numérico,1. Obligatorio si campo 6 = '49'  y campo 35 <> '2'\n2. Acepta negativos
23,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Impuesto al Consumo de las Bolsas de Plástico.,Numérico,"1. Acepta negativos.\n2. Opcional, excepto cuando el campo 6 = '01', '03', '07', '08', '12', '87' o '88' en cuyo caso es obligatorio, y el valor por defecto es 0.00."
24,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Otros conceptos, tributos y cargos que no forman parte de la base imponible",Numérico,
25,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Importe total del comprobante de pago,Numérico,1. Acepta negativos 
26,3,No,No,Código  de la Moneda (Tabla 4),Alfanumérico,1. Validar con parámetro tabla 4
27,1 entero y 3 decimales,No,No,Tipo de cambio (5),Numérico,1. Obligatorio si campo 26 contiene dato \n2. #.###\n3. Positivo
28,10,No,No,Fecha de emisión del comprobante de pago o documento original que se modifica (6) o documento referencial al documento que sustenta el crédito fiscal,DD/MM/AAAA,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88'  y campo 35 <> '2'\n3. Menor o igual al periodo informado\n4. Menor o igual al periodo señalado en el campo 1.\n
29,2,No,No,Tipo del comprobante de pago que se modifica (6),Numérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88' y campo 35 <> '2' \n2. Validar con parametro tabla 10
30,Hasta 20,No,No,Número de serie del comprobante de pago que se modifica (6) o Código de la Dependencia Aduanera,Alfanumérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88' y campo 35 <> '2' 
31,Hasta 20,No,No,"Número del comprobante de pago que se modifica (6) o Número de la DUA, de corresponder",Alfanumérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88'  y campo 35 <> '2' 
