campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMMDD\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 12 es igual a '1'. \n6. Si periodo es menor a periodo informado, entonces campo 12 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable. Debe ser el mismo consignado en el Libro Diario.",Texto,"1. Obligatorio\n2. Si el campo 12 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 12 es igual a '8', consignar el Código Único de la Operación (CUO)  que corresponda al periodo en que se omitió la anotación. \nPara modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO) \n4. Si el campo 12 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2. \nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n"
4,1,Si,Si,Tipo de Documento de Identidad del deudor,Alfanumérico,1. Obligatorio\n2. Validar con parámetro tabla 2\n
5, Hasta 15,Si,Si,Número de Documento de Identidad del deudor,Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (tipo y nro. doc.)\n
6,Hasta 100,Si,No,"Apellidos y Nombres, Denominación o Razón Social del deudor",Texto,1. Obligatorio\n
7,2,Si,No,"Tipo de Comprobante de Pago de la cuenta por cobrar provisionada, en caso sea aplicable",Numérico,"1. Obligatorio\n2. Validar con parámetro tabla 10\n3. En caso de no existir , registrar '00'"
8,Hasta 24,Si,No,"Número serie del comprobante de pago o documento o número de serie de la maquina registradora de la cuenta por cobrar provisionada, en caso sea aplicable",Alfanumérico,"1. Obligatorio\n2. Positivo, de ser numérico\n3. Aplicar Regla General (tipo y nro. doc.)"
9,Hasta 20,Si,No,"Número de Comprobante de Pago de la cuenta por cobrar provisionada, en caso sea aplicable",Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (por tipo doc.)
10,10,Si,No,Fecha de emisión del Comprobante de Pago o Fecha de inicio de la operación,DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
11,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Monto de cada provisión del deudor,Numérico,1. Obligatorio\n2. Negativo o '0.00'
12,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
13 al 24,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
