campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. AAAA >= 2010\n4. 01 <= MM <= 12. Se entiende que la información es a partir del 01 de enero del ejercicio o desde el inicio de actividades, cuando corresponda\n5. Si el periodo corresponde al ejercicio informado, campo 8 es igual a '1' \n6. Si el periodo es menor al ejercicio informado, entonces campo 8 es diferente a '1'"
1,8,Si,Si,Ejercicio,Numérico,"1. Obligatorio\n2. Validar formato AAAA0000\n3. AAAA >= 2010\n4. Se entiende que la información es a partir del 01 de enero del ejercicio o desde el inicio de actividades, cuando corresponda\n5. Si el ejercicio es igual al ejercicio informado, campo 13 es igual a '1' \n6. Si el ejercicio es menor al ejercicio informado, entonces campo 13 es diferente a '1'"
2,Hasta 10,Si,Si,"Código de identificación del Proceso informado (La información podrá agruparse optativamente por proceso productivo, línea de producción, producto o proyecto)",Texto,1. Obligatorio
3,Hasta 100,Si,No,Descripción del Proceso informado,Texto,1. Obligatorio\n
4,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Costos de los Materiales y Suministros Directos,Numérico,1. Obligatorio\n2. Positivo o '0.00'
5,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Costos la Mano de Obra Directa,Numérico,1. Obligatorio\n2. Positivo o '0.00'
6,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Otros Costos Directos,Numérico,1. Obligatorio\n2. Positivo o '0.00'
7,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Gastos de Producción Indirectos: Materiales y Suministros Indirectos,Numérico,1. Obligatorio\n2. Positivo o '0.00'
8,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Gastos de Producción Indirectos: Mano de Obra Indirecta,Numérico,1. Obligatorio\n2. Positivo o '0.00'
9,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Otros Gastos de Producción Indirectos,Numérico,1. Obligatorio\n2. Positivo o '0.00'
10,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Inventario inicial de productos en proceso,Numérico,1. Obligatorio\n2. Positivo o '0.00'
11,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Inventario final de productos en proceso,Numérico,1. Obligatorio\n2. Negativo o '0.00'
12,1,Si,No,Código de agrupamiento del costo de producción valorizado anual,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 21
13,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo (ejercicio).\n3. Registrar '8' cuando la operación corresponde a un periodo  (ejercicio)anterior y NO ha sido anotada en dicho periodo (ejercicio).\n4. Registrar '9' cuando la operación corresponde a un periodo  (ejercicio)anterior y SI ha sido anotada en dicho periodo (ejercicio).
14 al 26,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
