campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si periodo es menor a periodo informado, entonces campo 42 es igual a '9' o '6' o '7'\n6. Si el periodo es igual a periodo informado, campo 42 es igual a '0' o '1' "
2,Hasta 40,Si,Si,"1. Contribuyentes del Régimen General: Número correlativo del mes o Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable en el Libro Diario o del Libro Diario de Formato Simplificado en que se registró la operación.\n2. Contribuyentes del Régimen Especial de Renta - RER:  Número correlativo del mes. ",Texto,"1. Obligatorio\n2. Si el campo 42 es igual a '0'', 1' o '6' o '7', consignar el Código Único de la Operación (CUO) o número correlativo de la operación que se está informando\n3. Si el campo 42 es igual a '9', consignar el Código Único de la Operación (CUO) o número correlativo de la operación original que se modifica\n4. No acepta el caracter ""&""\n5. Si el CUO proviene de un asiento contable consolidado se debe adicionar un número secuencial separado de un guión ""-"". "
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2, cuando se utilice el Código Único de la Operación (CUO). El primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n3. En los casos de Contribuyentes del RER:Consignar M-RER.\n4. No acepta el caracter ""&"""
4,10,Si,No,Fecha de emisión del comprobante de pago o documento,DD/MM/AAAA,"1. Obligatorio.\n2. Menor o igual al periodo informado.\n3. Si  fecha  de  emisión  está  dentro  de  los   doce  meses anteriores  al  periodo  señalado  en  el  campo  1,  entonces campo 42 ='6'.\n4. Si   fecha   de   emisión   está   fuera   de  los   doce   meses anteriores  al  periodo  señalado  en  el  campo  1,  entonces\ncampo 42 ='7'."
5,10,No,No,Fecha de Vencimiento o Fecha de Pago (1),DD/MM/AAAA,"1. Opcional, excepto cuando el campo 6 = '14' en cuyo caso es obligatorio\n2. Menor o igual al mes siguiente del periodo informado\n3. Menor o igual al mes siguiente del periodo señalado en el campo 1."
6,2,Si,No,Tipo de Comprobante de Pago o Documento,Numérico,"1. Obligatorio\n2. Validar con parámetro tabla 10\n3. No permite los tipos de comprobantes o documentos ""91"", ""97"" y ""98""de la tabla 10"
7,Hasta 20,No,No,Serie del comprobante de pago o documento. En los casos de la Declaración Única de Aduanas (DUA) o de la Declaración Simplificada de Importación (DSI) se consignará el código de la dependencia Aduanera.,Alfanumérico,1. Optativo\n2. Aplicar Regla General (tipo y nro. doc.)
8,4,No,No,Año de emisión de la DUA o DSI,Numérico,"1. Si campo 6 = '50' , '52' registrar número mayor a  1981 y menor o igual al año del periodo informado o al año del periodo señalado en el campo 1."
9,Hasta 20,Si,No,"Número del comprobante de pago o documento o número de orden del formulario físico o virtual donde conste el pago del impuesto, tratándose de liquidaciones de compra, utilización de servicios prestados por no domiciliados u otros, número de la DUA, de la DSI, de la Liquidación de cobranza u otros documentos emitidos por SUNAT que acrediten el crédito fiscal en la importación de bienes.\nEn caso de optar por anotar el importe total de las operaciones diarias que no otorguen derecho a crédito fiscal en forma consolidada, registrar el número inicial (2).",Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (por tipo de doc.)
10,Hasta 20,No,No,"En caso de optar por anotar el importe total de las operaciones diarias que no otorguen derecho a crédito fiscal en forma consolidada, registrar el número final (2). ",Numérico,"1. Si campo 6 = '00','03','05','06','07','08','11','12','13','14','15','16','18','19','23','26','28','30','34','35','36','37','55','56','87' y '88' y  campo 9 sea mayor o igual a cero "
