campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMMDD\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 10 es igual a '1'. \n6. Si periodo es menor a periodo informado, entonces campo 10 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable. Debe ser el mismo consignado en el Libro Diario.",Texto,"1. Obligatorio\n2. Si el campo 10 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 10 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. \nPara modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO)\n4. Si el campo 10 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2. \nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n"
4,1,Si,Si,Tipo de Documento de Identidad del tercero,Alfanumérico,1. Obligatorio\n2. Validar con parámetro tabla 2
5, Hasta 15,Si,Si,Número de Documento de Identidad del tercero,Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (tipo y nro. doc.)
6,10,Si,No,Fecha de emisión del Comprobante de Pago o Fecha de inicio de la operación,DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
7,Hasta 100,Si,No,Apellidos y Nombres de terceros,Texto,1. Obligatorio\n
8,Hasta 24,Si,No,"Código de la cuenta contable asociada a la obligación y desagregado en subcuentas al nivel máximo de dígitos utilizado, según la estructura 5.3",Numérico,1. Obligatorio\n2. Positivo
9,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Monto pendiente de pago al tercero,Numérico,1. Obligatorio\n2. Positivo o '0.00'\n3. Excepcionalmente permitirá negativo
10,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
11 al 20,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
