campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 21 es igual a '1' \n6. Si periodo es menor a periodo informado, entonces campo 21 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable.\nSólo se permite la consolidación de operaciones, siempre que se cumpla con las siguientes condiciones:\n1. Que sea diaria, y \n2. Que por las mencionadas operaciones se mantenga la información detallada que permita efectuar la verificación individual de cada documento.\nDicha información detallada deberá ser llevada mediante un sistema de control computarizado y contener como mínimo la misma estructura del presente registro y ser proporcionada mediante medios magnéticos cuando sea requerida por la SUNAT.\nLos contribuyentes obligados a llevar el Registro de Inventario Permanente Valorizado solo podrán consolidar las operaciones relacionadas con los inventarios hasta el 31/12/2016.",Texto,"1. Obligatorio\n2. Si el campo 21 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 21 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. Para modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO)\n4. Si el campo 21 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2. \nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C"
4,Hasta 24,Si,Si,"Código de la cuenta contable desagregado en subcuentas al nivel máximo de dígitos utilizado, según la estructura 5.3 - Detalle del Plan Contable utilizado",Numérico,1. Obligatorio
5,Hasta 24,No,No,"Código de la Unidad de Operación, de la Unidad Económica Administrativa, de la Unidad de Negocio, de la Unidad de Producción, de la Línea, de la Concesión, del Local o del Lote, de corresponder. \nSe puede utilizar varios códigos a la vez en este campo, separandolos con el carácter ""&"".",Alfanumérico,
6,Hasta 24,No,No,"Código del Centro de Costos, Centro de Utilidades o Centro de Inversión, de corresponder",Alfanumérico,
7,3,Si,No,Tipo de Moneda de origen,Alfanumérico,1. Obligatorio\n2. Validar con parámetro tabla 4
8,1,No,No,tipo de documento de identidad del emisor,Alfanumérico,1. Aplicar Regla general  
9,15,No,No,numero de documento de identidad del emisor,Alfanumérico,1. Aplicar Regla general  
10,2,SI,No,"Tipo de Comprobante de Pago o Documento asociada a la operación, de corresponder",Numérico,1. Obligatorio\n2. Validar con parámetro tabla 10
11,Hasta 20,No,No,"Número de serie del comprobante de pago o documento asociada a la operación, de corresponder",Alfanumérico,1. Aplicar Regla General (tipo y nro. doc.)
12,Hasta 20,Si,Si,Número del comprobante de pago o documento asociada a la operación,Alfanumérico,1. Obligatorio\n2. Aplicar Regla General (por tipo de doc.)
13,10,No,No,Fecha contable,DD/MM/AAAA,1. Menor o igual al periodo informado\n2. Menor o igual al periodo señalado en el campo 1.
14,10,No,No,Fecha de vencimiento,DD/MM/AAAA,
15,10,Si,No,Fecha de la operación o emisión,DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
16,Hasta 200,Si,No,"Glosa o descripción de la naturaleza de la operación registrada, de ser el caso.",Texto,1. Obligatorio\n
17,Hasta 200,No,No,"Glosa referencial, de ser el caso",Texto,
18,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Movimientos del Debe,Numérico,1. Obligatorio\n2. Positivo o '0.00'\n3. Excluyente con campo 19\n4. Campo 18 y 19 pueden ser ambos 0.00\n5. La suma del campo 18 (correspondiente al Estado 1) debe ser igual a la suma del campo 19
19,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Movimientos del Haber,Numérico,1. Obligatorio\n2. Positivo o '0.00'\n3. Excluyente con campo 18\n4. Campo 18 y 19 pueden ser ambos 0.00\n5. La suma del campo 18 (correspondiente al estado 1) debe ser igual a la suma del campo 19.
20,Hasta 92,No,No,"Dato Estructurado: Código del libro, campo 1, campo 2 y campo 3 del Registro de Ventas e Ingresos o del Registro de Compras, separados con el carácter ""&"", de corresponder.",Texto,"1. Obligatorio solo si el asiento contable en el Libro Diaro no es consolidado, caso contrario no se consigna nada en este campo. \n2. Código del Registro de Ventas e Ingresos: 140100\n3. Código del Registro de Compras: 080100 y 080200\n4. Validar estructuras de los campos 1, 2 y 3 del Registro de Ventas e Ingresos o del registro de Compras\n"
21,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
22 al 44,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
