campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 14 es igual a '1' \n6. Si periodo es menor a periodo informado, entonces campo 14 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera únivoca el asiento contable. Debe ser el mismo consignado en el Libro Diario.",Texto,"1. Obligatorio\n2. Si el campo 15 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 15 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. Para modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO) \n4. Si el campo 15 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2. \nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C"
4,2,Si,Si,Código de la entidad financiera donde se encuentra su cuenta bancaria,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 3
5,Hasta 30,Si,Si,Código de la cuenta bancaria del contribuyente,Alfanumérico,1. Obligatorio\n
6,10,Si,No,Fecha de la operación,DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
7,3,Si,No,Medio de pago utilizado en la operación bancaria,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 1
8,Hasta 200,Si,No,Descripción de la operación bancaria.,Alfanumérico,1. Obligatorio\n
9,1,Si,No,Tipo de Documento de Identidad del girador o beneficiario,Alfanumérico,"1. Obligatorio\n2. Validar con parámetro tabla 2\n3. En caso de no existir o de tratarse de operaciones múltiples, registrar '-'"
10, Hasta 15,Si,No,Número de Documento de Identidad del girador o beneficiario,Alfanumérico,"1. Obligatorio\n2. Aplicar Regla General (tipo y nro. doc.)\n3. En caso de no existir o de tratarse de operaciones múltiples, registrar '-'"
11,Hasta 200,Si,No,"Apellidos y nombres, Denominación o Razón Social del girador o beneficiario. ",Texto,"1. Obligatorio\n2. De tratarse de operaciones múltiples se podrá consignar ""varios""\n"
12,Hasta 20,Si,No,"Número de transacción bancaria, número de documento sustentatorio o número de control interno de la operación bancaria",Alfanumérico,1. Obligatorio\n
13,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Parte deudora de saldos y movimientos,Numérico,1. Obligatorio\n2. Positivo o '0.00'\n3. Excluyente con campo 14\n4. Campo 13 y 14 no pueden ser ambos 0.00
14,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Parte acreedora de saldos y movimientos,Numérico,1. Obligatorio\n2. Positivo o '0.00'\n3. Excluyente con campo 13\n4. Campo 13 y 14 no pueden ser ambos 0.00
15,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
16 al 30,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
