campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00 3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si el periodo es igual a periodo informado, campo 19 es igual a '1'\n6. Si periodo es menor a periodo informado, entonces campo 19 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable. Debe ser el mismo consignado en el Libro Diario.",Texto,"1. Obligatorio\n2. Si el campo 19 es igual a '1', consignar el Código Único de la Operación (CUO) de la operación que se está informando\n3. Si el campo 19 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. Para modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO).\n4. Si el campo 19 es igual a '9', consignar el Código Único de la Operación (CUO) de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2.\nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C"
4,Hasta 7,Si,Si,"Código de establecimiento anexo:\n1. Los cuatro primeros dígitos son obligatorios y corresponden al código de establecimiento anexo según el Registro Único de Contribuyentes.\n2. En caso el almacén se encuentre ubicado en el establecimiento de un tercero o no sea posible incluirlo como un establecimiento anexo, los cuatro primeros números serán: ""9999""\n3. De la posición 5 a la 7 registrar un correlativo, de ser necesario",Numérico,1. Obligatorio\n2. Como mínimo consignar ####\n3. Positivo
5,1,Si,Si,Código del catálogo utilizado.,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 13
6,2,Si,Si,Tipo de existencia,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 5
7,Hasta 24,Si,Si,Código propio de la existencia correspondiente al catálogo señalado en el campo 5.,Alfanumérico,1. Obligatorio\n2. No acepta valor por default
8,1,No,No,Código del catálogo utilizado.,Numérico,1. A partir del 1.1.2021 es obligatorio (solo tratándose de la entrada y salida de mercaderías y productos terminados) siempre que en el comprobante de pago electrónico se hubiere consignado el código internacional UNSPSC o GTIN.\n2. No acepta el valor 9\n3. Validar con parámetro tabla 13
9,Hasta 128,No,No,Código de la existencia correspondiente al catálogo señalado en el campo 8.,Numérico,"1.Campo opcional, en el que se podrá utilizar el código internacional UNSPSC al tercer nivel jerárquico o GTIN, salvo que alguno de estos códigos se hubiere consignado en el comprobante de pago electrónico, en cuyo caso, a partir del 1.1.2021 será obligatorio tratándose de la entrada y salida de\nmercaderías y productos terminados."
10,10,Si,Si,"Fecha de emisión del documento de traslado, comprobante de pago,\ndocumento interno o similar",DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
11,2,Si,Si,"Tipo del documento de traslado, comprobante de pago, documento interno o similar",Numérico,"1. Obligatorio\n2. Validar con parámetro tabla 10\n3. Si campo 14 = '01', '02, '03, '04', '05' o '06', campo 11 <> '00'\n4. En caso contrario campo 11 puede tomar cualquier valor de la tabla 10, incluyendo '00'"
12,Hasta 20,Si,Si,"Número de serie del documento de traslado, comprobante de pago, documento interno o similar",Alfanumérico,"1. Obligatorio, si campo 14 = '01', '02, '03, '04', '05' o '06'\n2. Si no existe registrar '0'\n3. Positivo, de ser numérico"
13,Hasta 20,Si,Si,"Número del documento de traslado, comprobante de pago, documento interno\no similar",Alfanumérico,"1. Obligatorio, si campo 14 = '01', '02, '03, '04', '05' o '06'\n2. Si no existe registrar '0'\n3. Positivo, de ser numérico"
14,2,Si,Si,Tipo de operación efectuada,Numérico,1. Obligatorio\n2. Validar con parámetro tabla 12
15,Hasta 80,Si,No,Descripción de la existencia,Texto,1. Obligatorio
16,Hasta 3,Si,No,Código de la unidad de medida,Alfanumérico,1. Obligatorio\n2. Validar con parámetro tabla 6
17,"Hasta 12 enteros y hasta 2 decimales,\nsin comas de miles",Si,No,Entradas de las unidades físicas (la primera tupla corresponde al saldo inicial),Numérico,1. Obligatorio\n2. Positivo o '0.00'\n3. Excepcionalemnte puede ser negativo\n4. Excluyente con campo 18
18,"Hasta 12 enteros y\nhasta 2 decimales, sin comas de miles",Si,No,Salidas de las unidades físicas,Numérico,1. Obligatorio\n2. Negativo o '0.00'\n3. Excepcionalmente puede ser positivo\n4. Excluyente con campo 17
19,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
20 al 40,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
