campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAAMM00\n3. 01 <= MM <= 12\n4. Menor o igual al periodo informado\n5. Si periodo es menor a periodo informado, entonces campo 36 es igual a '9'\n6. Si el periodo es igual a periodo informado, campo 36 es diferente a '9' "
2,Hasta 40,Si,Si,"1. Contribuyentes del Régimen General: Número correlativo del mes o Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable en el Libro Diario o del Libro Diario de Formato Simplificado en que se registró la operación.\n2. Contribuyentes del Régimen Especial de Renta - RER:  Número correlativo del mes. ",Texto,"1. Obligatorio\n2. Si el campo 36 es igual a '0', consignar el Código Único de la Operación (CUO) o número correlativo de la operación que se está informando\n3. Si el campo 36 es igual a '9', consignar el Código Único de la Operación (CUO) o número correlativo de la operación original que se modifica\n4. No acepta el caracter ""&""\n5. Si el CUO proviene de un asiento contable consolidado se debe adicionar un número secuencial separado de un guión ""-"". "
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2, cuando se utilice el Código Único de la Operación (CUO). El primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C\n3. En los casos de Contribuyentes del RER: Consignar M-RER\n4. No acepta el caracter ""&"""
4,10,Si,No,Fecha de emisión del comprobante de pago o documento,DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado
5,2,Si,Si,Tipo de Comprobante de Pago o Documento del sujeto no domiciliado,Alfanumérico,"1. Obligatorio\n2. Sólo permite los tipos de documentos ""00"", ""91"", ""97"" y ""98""de la tabla 10\n3. Aplicar Regla General (por tipo de comprobante)"
6,Hasta 20,No,No,Serie del comprobante de pago o documento.,Alfanumérico,1. Opcional.\n2. No aplica Regla General ( por tipo de comprobante)
7,Hasta 20,Si,Si,Número del comprobante de pago o documento.,Alfanumérico,1. Obligatorio.\n2. Aplica Regla General ( por tipo de comprobante)
8,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Valor de las adquisiciones,Numérico,
9,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Otros conceptos adicionales,Numérico,
10,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Importe total de las adquisiciones registradas según comprobante de pago o documento,Numérico,1. Obligatorio
