campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
1,8,Si,Si,Periodo,Numérico,"1. Obligatorio\n2. Validar formato AAAA0000\n3. AAAA >= 2010\n4. Si el periodo es igual a periodo informado, campo 11 es igual a '1' \n5. Si periodo es menor a periodo informado, entonces campo 11 es diferente a '1'"
2,Hasta 40,Si,Si,"Código Único de la Operación (CUO), que es la llave única o clave única o clave primaria del software contable que identifica de manera unívoca el asiento contable. Debe ser el mismo consignado en el Libro Diario.",Texto,"1. Obligatorio\n2. Si el campo 11 es igual a '1', consignar el Código Único de la Operación (CUO)  de la operación que se está informando\n3. Si el campo 11 es igual a '8', consignar el Código Único de la Operación (CUO) que corresponda al periodo en que se omitió la anotación. \nPara modificaciones posteriores se hará referencia a este Código Único de la Operación (CUO) \n4. Si el campo 11 es igual a '9', consignar el Código Único de la Operación (CUO)  de la operación original que se modifica"
3,De 2 hasta 10,Si,Si,"Número correlativo del asiento contable identificado en el campo 2. \nEl primer dígito debe ser: ""A"" para el asiento de apertura del ejercicio, ""M"" para los asientos de movimientos o ajustes del mes o ""C"" para el asiento de cierre del ejercicio.",Alfanumérico,"1. Obligatorio\n2. El primer dígito debe ser: A, M o C"
4,1,Si,Si,Código del catálogo utilizado. Sólo se podrá incluir las opciones 3 y 9 de la tabla 13.,Numérico,1. Obligatorio\n2. No acepta el valor 1.\n3. Validar con parámetro tabla 13
5,Hasta 20,Si,Si,Número del contrato de arrendamiento financiero del Activo Fijo,Alfanumérico,1. Obligatorio
6,10,Si,Si,Fecha del contrato de arrendamiento financiero del Activo Fijo,DD/MM/AAAA,1. Obligatorio
7,Hasta 24,Si,Si,Código propio del activo fijo correspondiente al catálogo señalado en el campo 4. ,Alfanumérico,1. Obligatorio
8,10,Si,No,Fecha de inicio del arrendamiento financiero del Activo Fijo,DD/MM/AAAA,1. Obligatorio\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1.
9,Hasta 5,Si,No,Número de cuotas pactadas,Numérico,1. Obligatorio\n2. Positivo
10,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Monto total del contrato de arrendamiento financiero del Activo Fijo,Numérico,1. Obligatorio\n2. Positivo
11,1,Si,No,Indica el estado de la operación,Numérico,1. Obligatorio\n2. Registrar '1' cuando la operación corresponde al periodo.\n3. Registrar '8' cuando la operación corresponde a un periodo anterior y NO ha sido anotada en dicho periodo.\n4. Registrar '9' cuando la operación corresponde a un periodo anterior y SI ha sido anotada en dicho periodo.
12 al 24,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
